ID,LACT,DIM,MILK,FAT,PROTEIN,BW,DMI,NEL
1905,1,110,35.373,5.08,3.4,605.4081633,24.21194528,1.749205408
1407,2,211,44.8965,3.17,3.21,727.1062271,26.85509545,1.636784389
1314,2,319,39.4545,3.99,3.58,746.8864469,27.139177,1.611874566
9992,3,186,42.1755,3.75,3.02,722.5274725,26.92326833,1.650794635
1946,1,87,35.8265,4.83,3.61,601.8877551,23.92937237,1.747517538
1452,2,179,38.094,4.25,3.64,721.2454212,26.55727839,1.631170004
1851,1,136,33.1055,5.48,3.8,609.3877551,24.12001859,1.731444567
1460,2,194,39.001,4.1,3.52,723.992674,26.65871666,1.631449204
1386,2,233,43.9895,3.22,3.33,731.1355311,26.82427065,1.626219791
1867,1,125,37.6405,4.39,3.53,607.7040816,24.0979237,1.734679042
1979,1,56,36.28,4.85,3.3,597.1428571,23.61390669,1.786697186
1575,2,88,39.908,3.75,3.77,704.5787546,25.9432052,1.639892733
1959,1,9,29.024,7.07,3.42,610.7142857,19.13793709,2.226864104
8590,7,28,41.722,3.97,2.69,713.8888889,24.78208625,1.811026411
1143,3,85,48.5245,2.55,3.13,704.029304,26.09586473,1.652622234
1745,1,246,37.6405,4.39,3.35,626.2244898,24.51648574,1.716431679
1887,1,38,34.0125,5.31,3.37,596.9047619,22.8159829,1.832987683
1030,3,260,38.094,4.43,3.08,736.0805861,27.08699594,1.631706396
1492,2,80,50.3385,2.37,2.98,703.1135531,26.11299747,1.659577264
1972,1,45,30.838,5.84,4.17,595.4591837,22.77758063,1.782761669
9908,3,298,43.0825,3.28,3.31,743.040293,26.97670778,1.610073372
1871,1,128,35.373,4.73,3.69,608.1632653,23.92201214,1.7219966
9659,4,198,36.28,4.39,3.85,724.7252747,26.35736752,1.611005018
1806,1,211,35.373,4.95,3.26,620.8673469,24.44080381,1.724128039
1082,3,159,40.815,3.6,3.44,717.5824176,26.33185526,1.625247912
9961,3,290,41.2685,3.66,3.16,741.5750916,27.0329231,1.616674128
1893,1,104,34.9195,4.8,3.68,604.4897959,23.77621464,1.724574152
9964,3,231,43.9895,3.13,3.2,730.7692308,26.69919984,1.619271143
9593,4,243,33.559,4.94,4.09,732.967033,26.43261762,1.597734131
1017,3,280,36.28,4.59,3.39,739.7435897,26.90246864,1.612546805
8098,8,33,40.815,3.73,3.07,711.9047619,24.76974633,1.745176683
1945,1,86,36.7335,4.59,3.08,601.7346939,23.8901179,1.745969884
1850,1,163,32.652,5.22,3.93,613.5204082,23.84154006,1.70283031
1819,1,166,40.815,3.5,3.45,613.9795918,23.93271426,1.707709942
1813,1,191,39.908,3.52,3.71,617.8061224,23.84800259,1.69284432
1506,2,214,39.001,3.67,3.74,727.6556777,26.24387041,1.597333603
8976,6,194,48.5245,2.28,3.31,723.992674,26.24830365,1.605692702
1829,1,116,39.4545,3.69,3.52,606.3265306,23.67941274,1.711607021
1786,1,148,35.8265,4.38,3.75,611.2244898,23.73814317,1.701729038
9188,5,295,41.2685,3.41,3.34,742.4908425,26.74815263,1.59700215
1539,2,152,32.652,5.11,3.98,716.3003663,25.99514707,1.606782896
8770,6,180,42.1755,3.17,3.46,721.4285714,26.17597168,1.606761356
1787,1,114,39.4545,3.91,3.07,606.0204082,23.92703287,1.728852602
9955,3,259,38.094,4.07,3.3,735.8974359,26.67766058,1.606831905
1368,2,288,39.001,3.75,3.5,741.2087912,26.63435748,1.592597543
1774,1,216,34.466,4.68,3.77,621.6326531,23.95036309,1.690465853
1255,3,14,34.9195,4.62,3.66,719.4444444,21.81927066,1.929265846
1930,1,53,34.9195,4.75,3.42,596.6836735,23.09167693,1.763249852
9583,4,294,36.28,4.33,3.54,742.3076923,26.68009898,1.593109161
1416,2,173,39.908,3.61,3.38,720.1465201,26.20502554,1.611472772
1276,2,251,30.3845,5.69,4.14,734.4322344,26.3263246,1.58773377
148,5,201,38.094,3.94,3.45,725.2747253,26.29739445,1.605991931
1821,1,143,36.7335,4.22,3.5,610.4591837,23.76361491,1.70539275
1833,1,181,31.745,5.24,4.12,616.2755102,23.68230794,1.685469899
1203,2,237,29.931,5.87,4.08,731.8681319,26.3030676,1.591867244
1814,1,101,32.1985,5.32,3.71,604.0306122,23.57074231,1.712893257
9360,5,158,38.094,4.16,3.01,717.3992674,26.36991936,1.628048887
9837,4,9,31.745,5.33,3.91,721.4285714,20.44767777,2.041500639
1733,1,219,36.28,4.32,3.46,622.0918367,24.02455327,1.694277097
1397,2,267,30.838,5.56,4.01,737.3626374,26.39837714,1.585939452
1903,1,57,35.373,4.51,3.52,597.2959184,23.06430201,1.746207003
1348,2,143,36.7335,4.08,3.66,714.6520147,25.90348691,1.604754037
1766,1,166,31.745,5.22,4.03,613.9795918,23.61235457,1.686393414
1702,1,237,35.373,4.34,3.72,624.8469388,23.89073087,1.678808316
